id,subject_ID,Task_type,Question_Num,Question_Type,Answer,Accuracy,Assessment_Self,Assessment_Peers,Language
57,4,recall,9,serial,1,0.0,50.0,50.0,English
58,4,recall,10,serial,0,0.0,50.0,50.0,English
59,4,recall,11,serial,1,1.0,50.0,50.0,English
60,4,recall,12,concurrent,1,1.0,50.0,50.0,English
61,4,recall,13,concurrent,1,1.0,50.0,50.0,English
62,4,recall,14,concurrent,1,0.0,50.0,50.0,English
63,4,recall,15,concurrent,1,0.0,50.0,50.0,English
64,4,recall,16,concurrent,1,0.0,50.0,50.0,English
65,5,recall,1,serial,1,1.0,20.0,50.0,English
66,5,recall,2,serial,0,1.0,20.0,50.0,English
67,5,recall,3,serial,1,1.0,20.0,50.0,English
68,5,recall,4,serial,0,0.0,20.0,50.0,English
69,5,recall,5,serial,0,1.0,20.0,50.0,English
70,5,recall,6,serial,1,1.0,20.0,50.0,English
71,5,recall,7,serial,1,1.0,20.0,50.0,English
72,5,recall,8,serial,0,1.0,20.0,50.0,English
73,5,recall,9,serial,0,1.0,20.0,50.0,English
74,5,recall,10,serial,1,1.0,20.0,50.0,English
75,5,recall,11,serial,0,0.0,20.0,50.0,English
76,5,recall,12,concurrent,1,1.0,20.0,50.0,English
77,5,recall,13,concurrent,0,0.0,20.0,50.0,English
78,5,recall,14,concurrent,0,1.0,20.0,50.0,English
79,5,recall,15,concurrent,1,0.0,20.0,50.0,English
80,5,recall,16,concurrent,0,1.0,20.0,50.0,English
81,6,recall,1,serial,1,1.0,20.0,20.0,English
82,6,recall,2,serial,0,1.0,20.0,20.0,English
83,6,recall,3,serial,1,1.0,20.0,20.0,English
84,6,recall,4,serial,0,0.0,20.0,20.0,English
85,6,recall,5,serial,1,0.0,20.0,20.0,English
86,6,recall,6,serial,0,0.0,20.0,20.0,English
87,6,recall,7,serial,1,1.0,20.0,20.0,English
88,6,recall,8,serial,0,1.0,20.0,20.0,English
89,6,recall,9,serial,1,0.0,20.0,20.0,English
90,6,recall,10,serial,0,0.0,20.0,20.0,English
91,6,recall,11,serial,1,1.0,20.0,20.0,English
92,6,recall,12,concurrent,0,0.0,20.0,20.0,English
93,6,recall,13,concurrent,1,1.0,20.0,20.0,English
94,6,recall,14,concurrent,0,1.0,20.0,20.0,English
95,6,recall,15,concurrent,1,0.0,20.0,20.0,English
96,6,recall,16,concurrent,0,1.0,20.0,20.0,English
97,7,recall,1,serial,1,1.0,60.0,40.0,English
98,7,recall,2,serial,1,0.0,60.0,40.0,English
99,7,recall,3,serial,0,0.0,60.0,40.0,English
100,7,recall,4,serial,1,1.0,60.0,40.0,English
101,7,recall,5,serial,0,1.0,60.0,40.0,English
102,7,recall,6,serial,0,0.0,60.0,40.0,English
103,7,recall,7,serial,1,1.0,60.0,40.0,English
104,7,recall,8,serial,1,0.0,60.0,40.0,English
105,7,recall,9,serial,1,0.0,60.0,40.0,English
106,7,recall,10,serial,1,1.0,60.0,40.0,English
107,7,recall,11,serial,0,0.0,60.0,40.0,English
108,7,recall,12,concurrent,1,1.0,60.0,40.0,English
109,7,recall,13,concurrent,1,1.0,60.0,40.0,English
110,7,recall,14,concurrent,0,1.0,60.0,40.0,English
111,7,recall,15,concurrent,0,1.0,60.0,40.0,English
112,7,recall,16,concurrent,1,0.0,60.0,40.0,English
113,8,recall,1,serial,1,1.0,50.0,70.0,English
114,8,recall,2,serial,1,0.0,50.0,70.0,English
115,8,recall,3,serial,1,1.0,50.0,70.0,English
116,8,recall,4,serial,1,1.0,50.0,70.0,English
117,8,recall,5,serial,1,0.0,50.0,70.0,English
118,8,recall,6,serial,1,1.0,50.0,70.0,English
119,8,recall,7,serial,1,1.0,50.0,70.0,English
120,8,recall,8,serial,1,0.0,50.0,70.0,English
121,8,recall,9,serial,1,0.0,50.0,70.0,English
122,8,recall,10,serial,1,1.0,50.0,70.0,English
123,8,recall,11,serial,1,1.0,50.0,70.0,English
124,8,recall,12,concurrent,1,1.0,50.0,70.0,English
125,8,recall,13,concurrent,1,1.0,50.0,70.0,English
126,8,recall,14,concurrent,1,0.0,50.0,70.0,English
127,8,recall,15,concurrent,1,0.0,50.0,70.0,English
128,8,recall,16,concurrent,1,0.0,50.0,70.0,English
129,9,do,1,serial,1,1.0,70.0,50.0,English
130,9,do,2,serial,0,1.0,70.0,50.0,English
131,9,do,3,serial,0,0.0,70.0,50.0,English
132,9,do,4,serial,1,1.0,70.0,50.0,English
133,9,do,5,serial,1,0.0,70.0,50.0,English
134,9,do,6,serial,0,0.0,70.0,50.0,English
135,9,do,7,serial,1,1.0,70.0,50.0,English
136,9,do,8,serial,1,0.0,70.0,50.0,English
137,9,do,9,serial,0,1.0,70.0,50.0,English
138,9,do,10,serial,0,0.0,70.0,50.0,English
139,9,do,11,serial,1,1.0,70.0,50.0,English
140,9,do,12,concurrent,1,1.0,70.0,50.0,English
141,9,do,13,concurrent,0,0.0,70.0,50.0,English
142,9,do,14,concurrent,1,0.0,70.0,50.0,English
143,9,do,15,concurrent,1,0.0,70.0,50.0,English
144,9,do,16,concurrent,0,1.0,70.0,50.0,English
145,10,do,1,serial,1,1.0,25.0,67.0,English
146,10,do,2,serial,0,1.0,25.0,67.0,English
147,10,do,3,serial,1,1.0,25.0,67.0,English
148,10,do,4,serial,1,1.0,25.0,67.0,English
149,10,do,5,serial,1,1.0,25.0,67.0,English
150,10,do,6,serial,1,1.0,25.0,67.0,English
151,10,do,7,serial,1,1.0,25.0,67.0,English
152,10,do,8,serial,0,1.0,25.0,67.0,English
153,10,do,9,serial,0,1.0,25.0,67.0,English
154,10,do,10,serial,1,1.0,25.0,67.0,English
155,10,do,11,serial,1,1.0,25.0,67.0,English
156,10,do,12,concurrent,1,1.0,25.0,67.0,English
157,10,do,13,concurrent,1,0.0,25.0,67.0,English
158,10,do,14,concurrent,1,0.0,25.0,67.0,English
159,10,do,15,concurrent,1,0.0,25.0,67.0,English
160,10,do,16,concurrent,0,1.0,25.0,67.0,English
1025,11,do,1,serial,0,0.0,60.0,40.0,Chinese
1026,11,do,2,serial,1,0.0,60.0,40.0,Chinese
1027,11,do,3,serial,0,0.0,60.0,40.0,Chinese
1028,11,do,4,serial,1,1.0,60.0,40.0,Chinese
1029,11,do,5,serial,0,1.0,60.0,40.0,Chinese
1030,11,do,6,serial,0,0.0,60.0,40.0,Chinese
1031,11,do,7,serial,1,1.0,60.0,40.0,Chinese
1032,11,do,8,serial,1,0.0,60.0,40.0,Chinese
1033,11,do,9,serial,0,1.0,60.0,40.0,Chinese
1034,11,do,10,serial,1,1.0,60.0,40.0,Chinese
1035,11,do,11,serial,1,0.0,60.0,40.0,Chinese
1036,11,do,12,concurrent,0,0.0,60.0,40.0,Chinese
1037,11,do,13,concurrent,1,1.0,60.0,40.0,Chinese
1038,11,do,14,concurrent,0,1.0,60.0,40.0,Chinese
1039,11,do,15,concurrent,0,0.0,60.0,40.0,Chinese
1040,11,do,16,concurrent,1,1.0,60.0,40.0,Chinese
1041,12,recall,1,serial,1,1.0,30.0,30.0,Chinese
1042,12,recall,2,serial,0,1.0,30.0,30.0,Chinese
1043,12,recall,3,serial,0,1.0,30.0,30.0,Chinese
1044,12,recall,4,serial,1,1.0,30.0,30.0,Chinese
1045,12,recall,5,serial,0,1.0,30.0,30.0,Chinese
1046,12,recall,6,serial,1,1.0,30.0,30.0,Chinese
1047,12,recall,7,serial,0,0.0,30.0,30.0,Chinese
1048,12,recall,8,serial,0,1.0,30.0,30.0,Chinese
1049,12,recall,9,serial,0,1.0,30.0,30.0,Chinese
1050,12,recall,10,serial,1,0.0,30.0,30.0,Chinese
1051,12,recall,11,serial,1,1.0,30.0,30.0,Chinese
1052,12,recall,12,concurrent,1,1.0,30.0,30.0,Chinese
1053,12,recall,13,concurrent,1,1.0,30.0,30.0,Chinese
1054,12,recall,14,concurrent,0,1.0,30.0,30.0,Chinese
1055,12,recall,15,concurrent,1,0.0,30.0,30.0,Chinese
1056,12,recall,16,concurrent,1,0.0,30.0,30.0,Chinese
1057,13,recall,1,serial,1,1.0,80.0,60.0,Chinese
1058,13,recall,2,serial,0,1.0,80.0,60.0,Chinese
1059,13,recall,3,serial,1,1.0,80.0,60.0,Chinese
1060,13,recall,4,serial,1,1.0,80.0,60.0,Chinese
1061,13,recall,5,serial,0,1.0,80.0,60.0,Chinese
1062,13,recall,6,serial,0,0.0,80.0,60.0,Chinese
1063,13,recall,7,serial,1,1.0,80.0,60.0,Chinese
1064,13,recall,8,serial,1,1.0,80.0,60.0,Chinese
1065,13,recall,9,serial,1,0.0,80.0,60.0,Chinese
1066,13,recall,10,serial,0,0.0,80.0,60.0,Chinese
1067,13,recall,11,serial,0,0.0,80.0,60.0,Chinese
1068,13,recall,12,concurrent,1,1.0,80.0,60.0,Chinese
1069,13,recall,13,concurrent,1,1.0,80.0,60.0,Chinese
1070,13,recall,14,concurrent,0,1.0,80.0,60.0,Chinese
1071,13,recall,15,concurrent,1,0.0,80.0,60.0,Chinese
1072,13,recall,16,concurrent,0,1.0,80.0,60.0,Chinese
1073,14,recall,1,serial,1,1.0,80.0,80.0,Chinese
1074,14,recall,2,serial,1,1.0,80.0,80.0,Chinese
1075,14,recall,3,serial,1,1.0,80.0,80.0,Chinese
1076,14,recall,4,serial,1,1.0,80.0,80.0,Chinese
1077,14,recall,5,serial,0,1.0,80.0,80.0,Chinese
1078,14,recall,6,serial,1,0.0,80.0,80.0,Chinese
1079,14,recall,7,serial,0,0.0,80.0,80.0,Chinese
1080,14,recall,8,serial,0,1.0,80.0,80.0,Chinese
1081,14,recall,9,serial,1,0.0,80.0,80.0,Chinese
1082,14,recall,10,serial,1,1.0,80.0,80.0,Chinese
1083,14,recall,11,serial,0,0.0,80.0,80.0,Chinese
1084,14,recall,12,concurrent,1,1.0,80.0,80.0,Chinese
1085,14,recall,13,concurrent,1,1.0,80.0,80.0,Chinese
1086,14,recall,14,concurrent,1,0.0,80.0,80.0,Chinese
1087,14,recall,15,concurrent,1,0.0,80.0,80.0,Chinese
1088,14,recall,16,concurrent,0,1.0,80.0,80.0,Chinese
1089,15,recall,1,serial,1,1.0,75.0,65.0,Chinese
1090,15,recall,2,serial,0,1.0,75.0,65.0,Chinese
1091,15,recall,3,serial,1,1.0,75.0,65.0,Chinese
1092,15,recall,4,serial,0,1.0,75.0,65.0,Chinese
1093,15,recall,5,serial,0,1.0,75.0,65.0,Chinese
1094,15,recall,6,serial,0,0.0,75.0,65.0,Chinese
1095,15,recall,7,serial,1,1.0,75.0,65.0,Chinese
1096,15,recall,8,serial,0,1.0,75.0,65.0,Chinese
1097,15,recall,9,serial,0,1.0,75.0,65.0,Chinese
1098,15,recall,10,serial,0,0.0,75.0,65.0,Chinese
1099,15,recall,11,serial,0,0.0,75.0,65.0,Chinese
1100,15,recall,12,concurrent,1,1.0,75.0,65.0,Chinese
1101,15,recall,13,concurrent,0,1.0,75.0,65.0,Chinese
1102,15,recall,14,concurrent,1,0.0,75.0,65.0,Chinese
1103,15,recall,15,concurrent,1,0.0,75.0,65.0,Chinese
1104,15,recall,16,concurrent,1,0.0,75.0,65.0,Chinese
